0 061589 112768|snacks|Soft & Chewy 6 blueberry & honey cerial bars|yes
0 061589 112775|snacks|Soft & Chewy 6 cranberry & honey cereal bars|no
0102 8829|main meal waitrose|Waitrose Potatoes 2.5kg| 
0103 1515|fruit|Waitrose Apples Cox 1kg per 100g|no
0119 252|main meal marks & spencer|Marks & Spencer Fresh Cauliflower Cheese|no
0154 222|main meal marks & spencer|Marks & Spencer four cheese ravioli 400g|no
0539 364|salad|Marks & Spencer Santa Plum Tomato Salad 225g|no
0837 996|main meal marks & spencer|Marks & Spencer vegetarian pasta and vegetable bake 350g|no
1002 1330|salad|Tesco Mixed Salad 200g|no
1002 2405|salad|Tesco Tomatoes pack of 6|no
1003 8772|fruit|Tesco eat me keep me green pears|no
1004 6326|salad|Tesco Sweet & Crunchy salad|no
1004 7200|salad|Tesco Fresh & Crispy side salad 230g|no
1004 7378|salad|Tesco Roasted mushroom, spinach and tarragon pasta salad 200g| 
20516 02016|goo|Orgran Gravy mix 200g| 
5 000108 025351|snacks|Quaker harvest cheweee| 
5 000108 025375|snacks|Harvest Chewee 8 pack|yes
5 000116 018444|main meal birds eye|Birds Eye 4 Cod Steaks in parsley sauce|no
5 000116 050949|main meal birds eye|Birds Eye Prawn Curry with rice 375g| 
5 000116 052820|main meal birds eye|Birds Eye Lamb Curry with rice 350g| 
5 000116 053209|main meal birds eye|Simply Fish, 4 natural skinless and boneless cod fillets in lighly seasoned breadcrumbs| 
5 000116 055326|main meal birds eye|Birds Eye 4 Steak & Kidney Pies| 
5 000116 055593|main meal birds eye|Birds eye 6 new zealand hoki steaks in crunch crumb|no
5 000118 050251|breakfast|Flora pro-activ spread 500g| 
5 000118 056260|soup|Knorr vie smooth autumn vegetable soup 500ml| 
5 000119 105417|fruit|Tesco Pear Halves 410g per|no
5 000119 117359|breakfast cerial|Tesco 48 Wheat biscuits| 
5 000119 141606|main meal tesco|Tesco garden peas 1.81g|no
5 000119 153906|breakfast cerial|Tesco Bran flakes 750g| 
5 000119 684257|breakfast cerial|Tesco Fruit & Fibre 750g|no
5 000127 072091|breakfast cerial|Kelloggs Fruit'n Fibre 750g|no
5 000127 521056|breakfast cerial|Kelloggs Special K 500g|no
5 000149 016639|main meal linda mccartney|Linda McCartney 4 Deep Country Pies|yes
5 000149 025440|main meal ross|Spinach & Ricotta Cannelloni 300g|no
5 000149 025457|main meal ross|Cauliflower Cheese 300g|no
5 000149 026867|main meal linda mccartney|Linda McCartney shepherds pie| 
5 000149 027314|main meal linda mccartney|Linda McCartney Vegetable Stew and Dumplings 340g|yes
5 000149 027765|main meal linda mccartney|Linda McCartney mediterranean vegetable lasagne 320g|no
5 000168 106311|snacks|McVities goahead hazelnut & pistachio cerial bars 6*35g| 
5 000169 005279|main meal waitrose|Waitrose Breaded hoki fillets 600g|no
5 000169 007570|yogurt|waitrose live bio yogurt toffee 150g| 
5 000169 00780|drink|Waitrose pure gratefruit juice| 
5 000169 011416|fruit|Waitrose Strawberries variety Eris 400g|no
5 000169 014141|main meal waitrose|Waitrose macaroni cheese 350g|no
5 000169 015650|main meal waitrose|Waitrose Red Cabbage 200g|no
5 000169 015773|main meal waitrose|Waitrose thin and crispy ham and pinapple pizza 220g|no
5 000169 018460|main meal waitrose|Waitrose mixed beans with lentils 300g|no
5 000169 019443|drink|Waitrose UHT farm assured skimmed long life milk| 
5 000169 023570|main meal waitrose|Waitrose leek and bacon pasta 400g|no
5 000169 023617|main meal waitrose|Waitrose mediterranean vegetable lasagne 400g|no
5 000169 023679|main meal waitrose|Waitrose Vegetable Moussaka 700g|yes
5 000169 023693|main meal waitrose|Waitrose Vegetable Moussaka 350g|yes
5 000169 025123|salad|Waitrose Mediterranean style layered pasta salad 250g|no
5 000169 025130|salad|Waitrose coleslaw and cheese layered salad 370g|no
5 000169 026205|salad|Waitrose Tuna Layered Salad 300g|no
5 000169 028827|fruit|Waitrose Potatoes estima 2.5 kg|no
5 000169 031674|main meal waitrose|Waitrose Organic Broccoli 500g|no
5 000169 034347|main meal waitrose|Waitrose mushroom stroganoff 400g|no
5 000169 043851|main meal waitrose|Waitrose macaroni cheese 400g|no
5 000169 053768|main meal waitrose|Waitrose perfectly balanced garlic mushroom pasta 400g|no
5 000169 072363|main meal waitrose|Waitrose Garden Peas 907g|no
5 000169 072370|main meal waitrose|Waitrose Garden Peas 1.81kg|no
5 000169 073629|main meal waitrose|Waitrose Cauliflower 1kg|no
5 000169 073742|main meal waitrose|Waitrose Button Sprouts 1kg| 
5 000169 188644|main meal waitrose|Waitrose whole beans 1kg|no
5 000169 188651|main meal waitrose|Waitrose Sliced Green Beans 1kg|no
5 000169 188675|main meal waitrose|Waitrose whole leaf spinach 500g|no
5 000169 276754|main meal waitrose|Waitrose Thin & Crispy Garlic Mushroom Pizza 390g|yes
5 000169 302002|fruit|Waitrose english cherries per 100g|no
5 000169 352748|salad|Waitrose garlic and herb dressing per 100ml| 
5 000169 353677|salad|Waitrose Greek style layered salad 250g|no
5 000169 382732|main meal waitrose|Waitrose Casserole Vegetables 1kg|no
5 000169 483732|bread|Waitrose Wholemeal thick sliced with oat flakes and mixed seeds 800g| 
5 000169 508541|main meal waitrose|Waitrose Broccoli 1kg|no
5 000169 515754|bread|Waitrose Granary 800g| 
5 000169 518175|main meal waitrose|Waitrose Sliced Green Beans 500g| 
5 000169 545058|salad|Waitrose Pasta & Mushroom Salad 200 g| 
5 000169 545072|salad|Waitrose Couscous with roasted vegetables| 
5 000169 545164|salad|Waitrose Sweet Pepper Salad 200g|no
5 000169 589618|salad|Waitrose crunchy salad| 
5 000169 626900|soup|Waitrose Green Pea & mint fresh soup 600g|no
5 000169 657461|fruit|Waitrose Strawberries variety Camarosa 400g|no
5 000169 686027|main meal waitrose|Waitrose Premium Cod Fillets 600g minimum 4 |no
5 000169 692776|salad|Waitrose Maditerranean style Orzo Salad 225| 
5 000169 697009|bread|Waitrose 4 Old Fashioned Brown Rolls|no
5 000169 705438|bread|Waitrose 4 poppy seeded knot rolls|yes
5 000169 768228|salad|Waitrose Coleslaw Mix Shreaded 300g| 
5 000169 807323|main meal waitrose|Waitrose Lamb Hot Pot 400 g| 
5 000169 809327|main meal waitrose|Waitrose Ham & mushroom tagliatelle 400g|no
5 000169 809341|main meal waitrose|Waitrose mushroom risotto 350g|no
5 000169 841273|main meal waitrose|Waitrose Vegetable and Cheddar Cheese pie 210 g| 
5 000169 853948|main meal waitrose|Waitrose bistro Mushroom and roasted onion pizza|no
5 000169 858622|main meal waitrose|Waitrose Mushroom and Parsley Potato 350g| 
5 000169 858653|main meal waitrose|Waitrose Tagliatelle Carbonara 700g| 
5 000169 858721|main meal waitrose|Waitrose mushroom risotto 350g|no
5 000169 880487|main meal waitrose|Waitrose Prime cod fillets min 5 wt=550g| 
5 000169 882665|salad|Waitrose Pasta & Mozzarella Salad 225 g| 
5 000169 901687|snacks|Waitrose apricot cereal bars| 
5 000169 906774|salad|Coleslaw and Cheese Layered Salad 400g| 
5 000169 906781|salad|Waitrose Mediterranean style layed pasta salad 275g|no
5 000169 940372|snacks|Waitrose Canberry cereal bars| 
5 000169 948026|salad|Waitrose Perfectly Balanced Coleslaw 250g| 
5 000169 951798|main meal waitrose|Waitrose pizzeria tomato, aubergine and spinach 385g|no
5 000205 020662|main meal youngs|Youngs chip shop 4 large cod fillets in batter 540g|no
5 000205 024721|main meal youngs|Youngs Garlic & herb 2 fish fillets 270g|no
5 000234 058322|vegtables|Witworths dried onions 40g|no
5 000436 238515|drink|Tesco traditonal style lemonade| 
5 000436 470410|main meal tesco|Tesco Cheese & Tomato pasta bake 400g| 
5 000436 704683|main meal tesco|Tesco vegetarian cottage pie 400g| 
5 000436 857112|breakfast cerial|Tesco Kids Malt Wheats| 
5 000436 920083|main meal tesco|Tesco organic sliced carrots 1kg|no
5 00116 055579|main meal birds eye|6 new Zealand hoki steaks in crispy batter| 
5 010003 000278|bread|Hovis Wholemeal Farmhouse 800g| 
5 010003 000421|bread|Hovis Brown original wheatgerm medium sliced bread|no
5 010092 048502|bread|Allinson Wholemeal Thick Cut 800g| 
5 010092 050949|bread|Kingsmill Gold 800g Wholemeal Bread| 
5 010204 146416|main meal tesco|Tesco Tagliatelle carbonara 400g|yes
5 010204 157986|main meal tesco|4 Breaded Haddock fillets 600g| 
5 010204 161075|main meal tesco|Tesco 4 breaded cod fillets 600g|no
5 010204 162874|main meal tesco|4 Battered Haddock fillets 600g|no
5 010204 293219|main meal tesco|Tesco Vegetarian 2 Creamy mushroom escolopes|no
5 010204 293233|main meal tesco|Tesco Vegetarian 2 Creamy pepper escolopes|no
5 010204 369730|main meal tesco|Tesco Macaroni cheese 400g|yes
5 010204 477640|main meal tesco|Tesco breaded chunky cod fillets 540g| 
5 010204 494784|main meal tesco|Tesco healthyliving cauliflower cheese 400g| 
5 010204 494999|main meal tesco|Tesco healthyliving mushroom risotto 400g|yes
5 010204 520360|snacks|Tesco Apricot Fruity grain bars 296g|yes
5 010204 635842|main meal tesco|Tesco Vegetarian Lasagne 430g|no
5 010204 635866|main meal tesco|Tesco Vegetarian Cottage Pie 450g|no
5 010204 720296|snacks|Tesco 6 Maple cereal bars 150g|no
5 010204 736693|main meal tesco|Tesco Mushroom quiche 400g|no
5 010204 802565|snacks|Tesco healthy living 5 Cranberry & blackcurrent cerial bars|no
5 010477 310422|snacks|Jordans Tangy citrus Frusli 6 bars|no
5 010477 311948|snacks|Jordans Organic Cerial Bars Roast Hazelnut| 
5 010477 313263|snacks|Jordans Absolutely Apricot Frusli| 
5 010477 313287|snacks|Jordans Absolutely Apricot| 
5 010477 318435|snacks|Jordans Cranberry & Apple Frusli 6 bars|no
5 011546 416984|drink|Nestle Coffee-mate - virtually fat free 1Kg| 
5 011609 219507|fruit|Shearway Luxury Fruit Salad 500g| 
5014 7205|goo|Lemon Jif 55ml| 
5 017174 948989|fruit|Whole Mixed Nuts 1Kg|no
5 017174 954843|fruit|Super Trail Mix nuts 500g|no
5 017174 954850|fruit|Natures Harvest Fruit Surprise 500g|no
5 018374 037138|main meal tesco|Tesco Vegetable Gravy Granules 170g|yes
5 018374 251626|main meal tesco|Tesco sliced green beans 750g|no
5 018374 251725|main meal tesco|Tesco frozen broccoli florets 750g|no
5 018374 527509|main meal tesco|Tesco 4 vegetable pies| 
5 018374 664303|main meal tesco|Skinless & boned cod fillets in ovencrisp breadcrumbs 600g| 
5018 7072|goo|Flora low salt 500g| 
5 022129 044371|snacks|Village Bakery, Four Seeds Organic Trophy Bars 170g| 
5 022129 098084|snacks|Village Bakery, Four Fruits Organic Trophy Bars 170g|no
5 029644 000882|soup|Duchy Originals organic fresh green pea and ham soup with mint|no
5 031021 130662|main meal tesco|Tesco cut cabbage 1kg|no
5 031021 156112|main meal tesco|Tesco Swede & Carrot 750g|no
5 031021 156235|main meal tesco|Tesco frozen broccoli florets|no
5 031021 618863|bread|Tesco 4 Wholemeal deli rolls| 
5 050093 300919|main meal findus|Findus Macaroni Cheese 360g|no
5 050093 301152|main meal findus|Findus Leek & Carrot Gratin (400g) |no
5 050179 116298|main meal tesco|Tesco mushroom stoganoff with rice 400g|no
5 050179 244151|salad|The Food Doctor Better Dressed Creamy basil dressing 250 ml| 
5 050179 449778|main meal tesco|Tesco healthy living Vegetable pie 450g|no
5 050179 478440|main meal tesco|Tesco Deep Pan Farmhouse 464g| 
5 050179 887594|main meal tesco|Tesco broccoli quiche 400g|no
5 050179 892239|main meal tesco|Tesco Vegetarian Toad in the hole (190g)| 
5 060045 370488|soup|New Covent Garden Food Co New Year Vegetable|no
5 101477 311924|snacks|Jordans Blueberry Frusli 6 bars|no
8715 7987|goo|Heinz sun-dried tomato sauce 180ml| 
t166|main meal waitrose|Waitrose Cod Fillets 600g minimum| 
t17|snacks|Waitrose Ginger cereal bars| 
t227|main meal waitrose|Waitrose tomato & mozzarella pasta 350g|no
t237|main meal tesco|Tesco Vegetarian Vegetable Bake 400g| 
t54|breakfast|Flora low salt 500g| 
t69|bread|Waitrose 4 Old Fashioned Granery Rolls| 
t72|bread|Waitrose Thick sliced premium wholemeal bread| 
